,,Scenario,Region,Variable,Type,Year, electricity-generation-2023 ,electricity-capacity-2023
12451,ManitobaCanada Net-zeroWind2016,Canada Net-zero,Manitoba,Wind,Primary Fuel,2016, 966.00 ,258.45
12452,ManitobaCanada Net-zeroWind2017,Canada Net-zero,Manitoba,Wind,Primary Fuel,2017, 927.00 ,258.45
12453,ManitobaCanada Net-zeroWind2018,Canada Net-zero,Manitoba,Wind,Primary Fuel,2018, 873.00 ,258.45
12454,ManitobaCanada Net-zeroWind2019,Canada Net-zero,Manitoba,Wind,Primary Fuel,2019, 884.00 ,258.45
12455,New BrunswickCanada Net-zeroWind2005,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2005, -   ,0
12456,New BrunswickCanada Net-zeroWind2006,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2006, -   ,0
12457,New BrunswickCanada Net-zeroWind2007,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2007, -   ,0
12458,New BrunswickCanada Net-zeroWind2008,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2008, -   ,96
12459,New BrunswickCanada Net-zeroWind2009,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2009, 270.00 ,195
12460,New BrunswickCanada Net-zeroWind2010,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2010, 389.00 ,195
12461,New BrunswickCanada Net-zeroWind2011,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2011, 693.00 ,294
12462,New BrunswickCanada Net-zeroWind2012,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2012, 733.00 ,294
12463,New BrunswickCanada Net-zeroWind2013,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2013, 737.00 ,294
12464,New BrunswickCanada Net-zeroWind2014,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2014, 785.85 ,294
12465,New BrunswickCanada Net-zeroWind2015,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2015, 792.00 ,294
12466,New BrunswickCanada Net-zeroWind2016,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2016, 766.00 ,294
12467,New BrunswickCanada Net-zeroWind2017,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2017, 781.00 ,294
12468,New BrunswickCanada Net-zeroWind2018,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2018, 825.00 ,294
12469,New BrunswickCanada Net-zeroWind2019,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2019, 888.00 ,294
12470,Newfoundland and LabradorCanada Net-zeroWind2005,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2005, -   ,0
12471,Newfoundland and LabradorCanada Net-zeroWind2006,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2006, -   ,0
12472,Newfoundland and LabradorCanada Net-zeroWind2007,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2007, -   ,0
12473,Newfoundland and LabradorCanada Net-zeroWind2008,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2008, -   ,0
12474,Newfoundland and LabradorCanada Net-zeroWind2009,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2009, 102.00 ,54
12475,Newfoundland and LabradorCanada Net-zeroWind2010,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2010, 183.00 ,54
12476,Newfoundland and LabradorCanada Net-zeroWind2011,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2011, 198.00 ,54.3
12477,Newfoundland and LabradorCanada Net-zeroWind2012,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2012, 195.00 ,54.3
12478,Newfoundland and LabradorCanada Net-zeroWind2013,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2013, 192.00 ,54.3
12479,Newfoundland and LabradorCanada Net-zeroWind2014,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2014, 176.96 ,54.3
12480,Newfoundland and LabradorCanada Net-zeroWind2015,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2015, 172.00 ,54.3
12481,Newfoundland and LabradorCanada Net-zeroWind2016,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2016, 190.00 ,54.3
12482,Newfoundland and LabradorCanada Net-zeroWind2017,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2017, 186.00 ,54.3
12483,Newfoundland and LabradorCanada Net-zeroWind2018,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2018, 206.00 ,54.3
12484,Newfoundland and LabradorCanada Net-zeroWind2019,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2019, 182.00 ,54.3
12485,Northwest TerritoriesCanada Net-zeroWind2005,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2005, -   ,0
12486,Northwest TerritoriesCanada Net-zeroWind2006,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2006, -   ,0
12487,Northwest TerritoriesCanada Net-zeroWind2007,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2007, -   ,0
12488,Northwest TerritoriesCanada Net-zeroWind2008,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2008, -   ,0
12489,Northwest TerritoriesCanada Net-zeroWind2009,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2009, -   ,0
12490,Northwest TerritoriesCanada Net-zeroWind2010,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2010, -   ,0
12491,Northwest TerritoriesCanada Net-zeroWind2011,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2011, -   ,0
12492,Northwest TerritoriesCanada Net-zeroWind2012,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2012, 1.30 ,9.2
12493,Northwest TerritoriesCanada Net-zeroWind2013,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2013, 1.60 ,9.2
12494,Northwest TerritoriesCanada Net-zeroWind2014,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2014, 19.85 ,9.2
12495,Northwest TerritoriesCanada Net-zeroWind2015,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2015, 21.00 ,9.2
12496,Northwest TerritoriesCanada Net-zeroWind2016,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2016, 14.00 ,9.2
12497,Northwest TerritoriesCanada Net-zeroWind2017,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2017, 17.00 ,9.2
12498,Northwest TerritoriesCanada Net-zeroWind2018,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2018, 18.00 ,9.2
12499,Northwest TerritoriesCanada Net-zeroWind2019,Canada Net-zero,Northwest Territories,Wind,Primary Fuel,2019, 17.00 ,9.2
12500,Nova ScotiaCanada Net-zeroWind2005,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2005, 85.00 ,34.7
12501,Nova ScotiaCanada Net-zeroWind2006,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2006, 110.00 ,37.1
12502,Nova ScotiaCanada Net-zeroWind2007,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2007, 157.00 ,42.3
12503,Nova ScotiaCanada Net-zeroWind2008,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2008, 149.00 ,43.2
12504,Nova ScotiaCanada Net-zeroWind2009,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2009, 154.00 ,43.2
12505,Nova ScotiaCanada Net-zeroWind2010,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2010, 387.00 ,122.2
12506,Nova ScotiaCanada Net-zeroWind2011,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2011, 664.19 ,216.6
12507,Nova ScotiaCanada Net-zeroWind2012,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2012, 800.00 ,320.2
12508,Nova ScotiaCanada Net-zeroWind2013,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2013, 765.00 ,326.17
12509,Nova ScotiaCanada Net-zeroWind2014,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2014, 748.68 ,328.17
12510,Nova ScotiaCanada Net-zeroWind2015,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2015, 803.57 ,534.17
12511,Nova ScotiaCanada Net-zeroWind2016,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2016, 999.00 ,596.4
12512,Nova ScotiaCanada Net-zeroWind2017,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2017," 1,309.00 ",615.4
12513,Nova ScotiaCanada Net-zeroWind2018,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2018," 1,153.00 ",615.4
12514,Nova ScotiaCanada Net-zeroWind2019,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2019," 1,057.00 ",615.4
12515,NunavutCanada Net-zeroWind2005,Canada Net-zero,Nunavut,Wind,Primary Fuel,2005, -   ,0
12516,NunavutCanada Net-zeroWind2006,Canada Net-zero,Nunavut,Wind,Primary Fuel,2006, -   ,0
12517,NunavutCanada Net-zeroWind2007,Canada Net-zero,Nunavut,Wind,Primary Fuel,2007, -   ,0
12518,NunavutCanada Net-zeroWind2008,Canada Net-zero,Nunavut,Wind,Primary Fuel,2008, -   ,0
12519,NunavutCanada Net-zeroWind2009,Canada Net-zero,Nunavut,Wind,Primary Fuel,2009, -   ,0
12520,NunavutCanada Net-zeroWind2010,Canada Net-zero,Nunavut,Wind,Primary Fuel,2010, -   ,0
12521,NunavutCanada Net-zeroWind2011,Canada Net-zero,Nunavut,Wind,Primary Fuel,2011, -   ,0
12522,NunavutCanada Net-zeroWind2012,Canada Net-zero,Nunavut,Wind,Primary Fuel,2012, -   ,0
12523,NunavutCanada Net-zeroWind2013,Canada Net-zero,Nunavut,Wind,Primary Fuel,2013, -   ,0
12524,NunavutCanada Net-zeroWind2014,Canada Net-zero,Nunavut,Wind,Primary Fuel,2014, -   ,0
12525,NunavutCanada Net-zeroWind2015,Canada Net-zero,Nunavut,Wind,Primary Fuel,2015, -   ,0
12526,NunavutCanada Net-zeroWind2016,Canada Net-zero,Nunavut,Wind,Primary Fuel,2016, -   ,0
12527,NunavutCanada Net-zeroWind2017,Canada Net-zero,Nunavut,Wind,Primary Fuel,2017, -   ,0
12528,NunavutCanada Net-zeroWind2018,Canada Net-zero,Nunavut,Wind,Primary Fuel,2018, -   ,0
12529,NunavutCanada Net-zeroWind2019,Canada Net-zero,Nunavut,Wind,Primary Fuel,2019, -   ,0
12530,OntarioCanada Net-zeroWind2005,Canada Net-zero,Ontario,Wind,Primary Fuel,2005, 26.00 ,15
12531,OntarioCanada Net-zeroWind2006,Canada Net-zero,Ontario,Wind,Primary Fuel,2006, 145.00 ,414
12532,OntarioCanada Net-zeroWind2007,Canada Net-zero,Ontario,Wind,Primary Fuel,2007, 494.00 ,491
12533,OntarioCanada Net-zeroWind2008,Canada Net-zero,Ontario,Wind,Primary Fuel,2008," 1,400.00 ",782.0001
12534,OntarioCanada Net-zeroWind2009,Canada Net-zero,Ontario,Wind,Primary Fuel,2009," 2,300.00 ",1168
12535,OntarioCanada Net-zeroWind2010,Canada Net-zero,Ontario,Wind,Primary Fuel,2010," 2,800.00 ",1447
12536,OntarioCanada Net-zeroWind2011,Canada Net-zero,Ontario,Wind,Primary Fuel,2011," 3,900.00 ",1970
12537,OntarioCanada Net-zeroWind2012,Canada Net-zero,Ontario,Wind,Primary Fuel,2012," 4,600.00 ",2053
12538,OntarioCanada Net-zeroWind2013,Canada Net-zero,Ontario,Wind,Primary Fuel,2013," 5,200.00 ",2491
12539,OntarioCanada Net-zeroWind2014,Canada Net-zero,Ontario,Wind,Primary Fuel,2014," 6,900.64 ",3489.999
12540,OntarioCanada Net-zeroWind2015,Canada Net-zero,Ontario,Wind,Primary Fuel,2015," 11,396.00 ",4374
12541,OntarioCanada Net-zeroWind2016,Canada Net-zero,Ontario,Wind,Primary Fuel,2016," 10,758.00 ",4841.45
12542,OntarioCanada Net-zeroWind2017,Canada Net-zero,Ontario,Wind,Primary Fuel,2017," 10,464.00 ",5115.45
12543,OntarioCanada Net-zeroWind2018,Canada Net-zero,Ontario,Wind,Primary Fuel,2018," 11,922.01 ",5076.45
12544,OntarioCanada Net-zeroWind2019,Canada Net-zero,Ontario,Wind,Primary Fuel,2019," 10,957.00 ",5076.45
12545,Prince Edward IslandCanada Net-zeroWind2005,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2005, 40.00 ,13
12546,Prince Edward IslandCanada Net-zeroWind2006,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2006, 36.00 ,13
12547,Prince Edward IslandCanada Net-zeroWind2007,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2007, 40.00 ,72
12548,Prince Edward IslandCanada Net-zeroWind2008,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2008, 142.00 ,72
12549,Prince Edward IslandCanada Net-zeroWind2009,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2009, 347.00 ,151
12550,Prince Edward IslandCanada Net-zeroWind2010,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2010, 458.00 ,163
12551,Prince Edward IslandCanada Net-zeroWind2011,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2011, 488.00 ,163
12552,Prince Edward IslandCanada Net-zeroWind2012,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2012, 468.00 ,163
12553,Prince Edward IslandCanada Net-zeroWind2013,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2013, 499.00 ,173
12554,Prince Edward IslandCanada Net-zeroWind2014,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2014, 611.28 ,202.98
12555,Prince Edward IslandCanada Net-zeroWind2015,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2015, 606.00 ,203.28
12556,Prince Edward IslandCanada Net-zeroWind2016,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2016, 594.00 ,203.28
12557,Prince Edward IslandCanada Net-zeroWind2017,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2017, 604.00 ,203.28
12558,Prince Edward IslandCanada Net-zeroWind2018,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2018, 640.00 ,203.28
12559,Prince Edward IslandCanada Net-zeroWind2019,Canada Net-zero,Prince Edward Island,Wind,Primary Fuel,2019, 645.00 ,203.28
12560,QuebecCanada Net-zeroWind2005,Canada Net-zero,Quebec,Wind,Primary Fuel,2005, 416.00 ,207
12561,QuebecCanada Net-zeroWind2006,Canada Net-zero,Quebec,Wind,Primary Fuel,2006, 419.00 ,317
12562,QuebecCanada Net-zeroWind2007,Canada Net-zero,Quebec,Wind,Primary Fuel,2007, 617.00 ,417
12563,QuebecCanada Net-zeroWind2008,Canada Net-zero,Quebec,Wind,Primary Fuel,2008, 565.00 ,527
12564,QuebecCanada Net-zeroWind2009,Canada Net-zero,Quebec,Wind,Primary Fuel,2009," 1,322.00 ",660
12565,QuebecCanada Net-zeroWind2010,Canada Net-zero,Quebec,Wind,Primary Fuel,2010," 1,535.14 ",663.97
12566,QuebecCanada Net-zeroWind2011,Canada Net-zero,Quebec,Wind,Primary Fuel,2011," 1,393.80 ",923
12567,QuebecCanada Net-zeroWind2012,Canada Net-zero,Quebec,Wind,Primary Fuel,2012," 2,278.06 ",1199.57
12568,QuebecCanada Net-zeroWind2013,Canada Net-zero,Quebec,Wind,Primary Fuel,2013," 4,717.86 ",2187.4
12569,QuebecCanada Net-zeroWind2014,Canada Net-zero,Quebec,Wind,Primary Fuel,2014," 6,124.31 ",2648.4
12570,QuebecCanada Net-zeroWind2015,Canada Net-zero,Quebec,Wind,Primary Fuel,2015," 6,421.00 ",3045.4
12571,QuebecCanada Net-zeroWind2016,Canada Net-zero,Quebec,Wind,Primary Fuel,2016," 9,781.00 ",3332.72
12572,QuebecCanada Net-zeroWind2017,Canada Net-zero,Quebec,Wind,Primary Fuel,2017," 9,905.00 ",3732.37
12573,QuebecCanada Net-zeroWind2018,Canada Net-zero,Quebec,Wind,Primary Fuel,2018," 10,640.00 ",3879.57
12574,QuebecCanada Net-zeroWind2019,Canada Net-zero,Quebec,Wind,Primary Fuel,2019," 11,097.00 ",4303.97
12575,SaskatchewanCanada Net-zeroWind2005,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2005, 92.00 ,15.86
12576,SaskatchewanCanada Net-zeroWind2006,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2006, 573.00 ,171.18
12577,SaskatchewanCanada Net-zeroWind2007,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2007, 620.00 ,171.18
12578,SaskatchewanCanada Net-zeroWind2008,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2008, 574.00 ,171.18
12579,SaskatchewanCanada Net-zeroWind2009,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2009, 579.00 ,171.18
12580,SaskatchewanCanada Net-zeroWind2010,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2010, 507.00 ,171.18
12581,SaskatchewanCanada Net-zeroWind2011,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2011, 682.00 ,196.68
12582,SaskatchewanCanada Net-zeroWind2012,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2012, 655.00 ,196.68
12583,SaskatchewanCanada Net-zeroWind2013,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2013, 646.00 ,196.68
12584,SaskatchewanCanada Net-zeroWind2014,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2014, 615.26 ,196.68
12585,SaskatchewanCanada Net-zeroWind2015,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2015, 620.00 ,221.18
12586,SaskatchewanCanada Net-zeroWind2016,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2016, 746.00 ,221.18
12587,SaskatchewanCanada Net-zeroWind2017,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2017, 739.00 ,221.18
12588,SaskatchewanCanada Net-zeroWind2018,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2018, 694.00 ,221.18
12589,SaskatchewanCanada Net-zeroWind2019,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2019, 707.00 ,221.18
12590,YukonCanada Net-zeroWind2005,Canada Net-zero,Yukon,Wind,Primary Fuel,2005, 0.41 ,0.81
12591,YukonCanada Net-zeroWind2006,Canada Net-zero,Yukon,Wind,Primary Fuel,2006, 0.41 ,0.81
12592,YukonCanada Net-zeroWind2007,Canada Net-zero,Yukon,Wind,Primary Fuel,2007, 0.41 ,0.81
12593,YukonCanada Net-zeroWind2008,Canada Net-zero,Yukon,Wind,Primary Fuel,2008, 0.44 ,0.81
12594,YukonCanada Net-zeroWind2009,Canada Net-zero,Yukon,Wind,Primary Fuel,2009, 0.23 ,0.81
12595,YukonCanada Net-zeroWind2010,Canada Net-zero,Yukon,Wind,Primary Fuel,2010, 0.09 ,0.81
12596,YukonCanada Net-zeroWind2011,Canada Net-zero,Yukon,Wind,Primary Fuel,2011, 0.40 ,0.81
12597,YukonCanada Net-zeroWind2012,Canada Net-zero,Yukon,Wind,Primary Fuel,2012, 0.45 ,0.81
12598,YukonCanada Net-zeroWind2013,Canada Net-zero,Yukon,Wind,Primary Fuel,2013, 0.28 ,0.81
12599,YukonCanada Net-zeroWind2014,Canada Net-zero,Yukon,Wind,Primary Fuel,2014, 0.33 ,0.81
12600,YukonCanada Net-zeroWind2015,Canada Net-zero,Yukon,Wind,Primary Fuel,2015, 1.00 ,0.81
12601,YukonCanada Net-zeroWind2016,Canada Net-zero,Yukon,Wind,Primary Fuel,2016, 1.00 ,0.81
12602,YukonCanada Net-zeroWind2017,Canada Net-zero,Yukon,Wind,Primary Fuel,2017, -   ,0.81
12603,YukonCanada Net-zeroWind2018,Canada Net-zero,Yukon,Wind,Primary Fuel,2018, -   ,0.81
12604,YukonCanada Net-zeroWind2019,Canada Net-zero,Yukon,Wind,Primary Fuel,2019, -   ,0.81
12605,CanadaCanada Net-zeroBiomass / Geothermal2020,Canada Net-zero,Canada,Biomass / Geothermal,Primary Fuel,2020," 9,141.13 ",2522.82
12606,CanadaCurrent MeasuresBiomass / Geothermal2020,Current Measures,Canada,Biomass / Geothermal,Primary Fuel,2020," 9,141.13 ",2522.82
12607,CanadaGlobal Net-zeroBiomass / Geothermal2020,Global Net-zero,Canada,Biomass / Geothermal,Primary Fuel,2020," 9,141.13 ",2522.82
12608,CanadaCanada Net-zeroCoal & Coke2020,Canada Net-zero,Canada,Coal & Coke,Primary Fuel,2020," 41,913.67 ",7928
12609,CanadaCurrent MeasuresCoal & Coke2020,Current Measures,Canada,Coal & Coke,Primary Fuel,2020," 41,913.67 ",7928
12610,CanadaGlobal Net-zeroCoal & Coke2020,Global Net-zero,Canada,Coal & Coke,Primary Fuel,2020," 41,913.67 ",7928
12611,CanadaCanada Net-zeroHydro / Wave / Tidal2020,Canada Net-zero,Canada,Hydro / Wave / Tidal,Primary Fuel,2020," 381,169.28 ",81743.491
12612,CanadaCurrent MeasuresHydro / Wave / Tidal2020,Current Measures,Canada,Hydro / Wave / Tidal,Primary Fuel,2020," 381,169.28 ",81743.491
12613,CanadaGlobal Net-zeroHydro / Wave / Tidal2020,Global Net-zero,Canada,Hydro / Wave / Tidal,Primary Fuel,2020," 381,169.28 ",81743.491
12614,CanadaCanada Net-zeroNatural Gas2020,Canada Net-zero,Canada,Natural Gas,Primary Fuel,2020," 68,037.50 ",22893.33
12615,CanadaCurrent MeasuresNatural Gas2020,Current Measures,Canada,Natural Gas,Primary Fuel,2020," 68,037.50 ",22893.33
12616,CanadaGlobal Net-zeroNatural Gas2020,Global Net-zero,Canada,Natural Gas,Primary Fuel,2020," 68,037.50 ",22893.33
12617,CanadaCanada Net-zeroOil2020,Canada Net-zero,Canada,Oil,Primary Fuel,2020," 2,058.40 ",3660.555
12618,CanadaCurrent MeasuresOil2020,Current Measures,Canada,Oil,Primary Fuel,2020," 2,058.40 ",3660.555
12619,CanadaGlobal Net-zeroOil2020,Global Net-zero,Canada,Oil,Primary Fuel,2020," 2,058.40 ",3660.555
12620,CanadaCanada Net-zeroSolar2020,Canada Net-zero,Canada,Solar,Primary Fuel,2020," 5,919.90 ",3116.672
12621,CanadaCurrent MeasuresSolar2020,Current Measures,Canada,Solar,Primary Fuel,2020," 5,919.90 ",3116.672
12622,CanadaGlobal Net-zeroSolar2020,Global Net-zero,Canada,Solar,Primary Fuel,2020," 5,919.90 ",3116.672
12623,CanadaCanada Net-zeroUranium2020,Canada Net-zero,Canada,Uranium,Primary Fuel,2020," 92,645.80 ",14845
12624,CanadaCurrent MeasuresUranium2020,Current Measures,Canada,Uranium,Primary Fuel,2020," 92,645.80 ",14845
12625,CanadaGlobal Net-zeroUranium2020,Global Net-zero,Canada,Uranium,Primary Fuel,2020," 92,645.80 ",14845
12626,CanadaCanada Net-zeroWind2020,Canada Net-zero,Canada,Wind,Primary Fuel,2020," 37,454.07 ",13658.43
12627,CanadaCurrent MeasuresWind2020,Current Measures,Canada,Wind,Primary Fuel,2020," 37,454.07 ",13658.43
12628,CanadaGlobal Net-zeroWind2020,Global Net-zero,Canada,Wind,Primary Fuel,2020," 37,454.07 ",13658.43
12629,CanadaCanada Net-zeroBiomass / Geothermal2021,Canada Net-zero,Canada,Biomass / Geothermal,Primary Fuel,2021," 9,461.53 ",2542.07
12630,CanadaCurrent MeasuresBiomass / Geothermal2021,Current Measures,Canada,Biomass / Geothermal,Primary Fuel,2021," 9,461.53 ",2542.07
12631,CanadaGlobal Net-zeroBiomass / Geothermal2021,Global Net-zero,Canada,Biomass / Geothermal,Primary Fuel,2021," 9,461.53 ",2542.07
12632,CanadaCanada Net-zeroCoal & Coke2021,Canada Net-zero,Canada,Coal & Coke,Primary Fuel,2021," 32,642.48 ",6546
12633,CanadaCurrent MeasuresCoal & Coke2021,Current Measures,Canada,Coal & Coke,Primary Fuel,2021," 32,642.48 ",6546.15
12634,CanadaGlobal Net-zeroCoal & Coke2021,Global Net-zero,Canada,Coal & Coke,Primary Fuel,2021," 32,642.48 ",6546
12635,CanadaCanada Net-zeroHydro / Wave / Tidal2021,Canada Net-zero,Canada,Hydro / Wave / Tidal,Primary Fuel,2021," 378,130.64 ",83067.491
12636,CanadaCurrent MeasuresHydro / Wave / Tidal2021,Current Measures,Canada,Hydro / Wave / Tidal,Primary Fuel,2021," 378,130.64 ",83067.491
12637,CanadaGlobal Net-zeroHydro / Wave / Tidal2021,Global Net-zero,Canada,Hydro / Wave / Tidal,Primary Fuel,2021," 378,130.64 ",83067.491
12638,CanadaCanada Net-zeroNatural Gas2021,Canada Net-zero,Canada,Natural Gas,Primary Fuel,2021," 74,448.91 ",22977.83
12639,CanadaCurrent MeasuresNatural Gas2021,Current Measures,Canada,Natural Gas,Primary Fuel,2021," 74,448.91 ",22977.83
12640,CanadaGlobal Net-zeroNatural Gas2021,Global Net-zero,Canada,Natural Gas,Primary Fuel,2021," 74,448.91 ",22977.83
12641,CanadaCanada Net-zeroOil2021,Canada Net-zero,Canada,Oil,Primary Fuel,2021," 1,897.82 ",3660.555
12642,CanadaCurrent MeasuresOil2021,Current Measures,Canada,Oil,Primary Fuel,2021," 1,897.82 ",3660.555
12643,CanadaGlobal Net-zeroOil2021,Global Net-zero,Canada,Oil,Primary Fuel,2021," 1,897.82 ",3660.555
12644,CanadaCanada Net-zeroSolar2021,Canada Net-zero,Canada,Solar,Primary Fuel,2021," 6,249.05 ",3350.672
12645,CanadaCurrent MeasuresSolar2021,Current Measures,Canada,Solar,Primary Fuel,2021," 6,248.91 ",3350.672
12646,CanadaGlobal Net-zeroSolar2021,Global Net-zero,Canada,Solar,Primary Fuel,2021," 6,249.05 ",3350.672
12647,CanadaCanada Net-zeroUranium2021,Canada Net-zero,Canada,Uranium,Primary Fuel,2021," 86,894.63 ",13085
12648,CanadaCurrent MeasuresUranium2021,Current Measures,Canada,Uranium,Primary Fuel,2021," 86,894.63 ",13085
12649,CanadaGlobal Net-zeroUranium2021,Global Net-zero,Canada,Uranium,Primary Fuel,2021," 86,894.63 ",13085
12650,CanadaCanada Net-zeroWind2021,Canada Net-zero,Canada,Wind,Primary Fuel,2021," 35,996.13 ",13878.43
12651,CanadaCurrent MeasuresWind2021,Current Measures,Canada,Wind,Primary Fuel,2021," 35,996.13 ",13878.43
12652,CanadaGlobal Net-zeroWind2021,Global Net-zero,Canada,Wind,Primary Fuel,2021," 35,996.13 ",13878.43
12653,CanadaCanada Net-zeroBiomass / Geothermal2022,Canada Net-zero,Canada,Biomass / Geothermal,Primary Fuel,2022," 11,188.25 ",2542.07
12654,CanadaCurrent MeasuresBiomass / Geothermal2022,Current Measures,Canada,Biomass / Geothermal,Primary Fuel,2022," 11,048.16 ",2542.07
12655,CanadaGlobal Net-zeroBiomass / Geothermal2022,Global Net-zero,Canada,Biomass / Geothermal,Primary Fuel,2022," 11,321.23 ",2542.07
12656,CanadaCanada Net-zeroCoal & Coke2022,Canada Net-zero,Canada,Coal & Coke,Primary Fuel,2022," 27,612.84 ",4706
12657,CanadaCurrent MeasuresCoal & Coke2022,Current Measures,Canada,Coal & Coke,Primary Fuel,2022," 27,694.93 ",4706
12658,CanadaGlobal Net-zeroCoal & Coke2022,Global Net-zero,Canada,Coal & Coke,Primary Fuel,2022," 27,548.97 ",4706
12659,CanadaCanada Net-zeroHydro / Wave / Tidal2022,Canada Net-zero,Canada,Hydro / Wave / Tidal,Primary Fuel,2022," 375,439.52 ",83672.4915
12660,CanadaCurrent MeasuresHydro / Wave / Tidal2022,Current Measures,Canada,Hydro / Wave / Tidal,Primary Fuel,2022," 376,174.53 ",83672.4915
12661,CanadaGlobal Net-zeroHydro / Wave / Tidal2022,Global Net-zero,Canada,Hydro / Wave / Tidal,Primary Fuel,2022," 385,441.78 ",83672.4915
